timestamp,action,search_name,performed_by,details
1768005866,"status_changed","DMC Asset - Build Standalone Asset Table",admin,"Status changed to flagged"
1768005866,"status_changed","DMC Asset - Build Standalone Asset Table",admin,"Status changed to flagged"
